1,2,1,1,1,0
1,2,1,1,1,0
1,2,2,1,1,0
1,2,1,1,1,1
5,6,5,1,5,6
1,2,2,1,1,2
7,4,7,1,7,0
2,5,2,1,2,2
1,7,7,1,0,7
5,6,6,1,5,5
5,6,5,1,5,6
2,4,4,1,2,4
2,4,4,1,2,2
8,5,5,1,8,0
4,8,8,1,4,0
3,25,25,1,3,3
6,4,6,1,6,0
6,4,4,1,6,6
6,4,6,1,6,6
2,7,2,1,0,2
1,6,1,1,1,0
2,1,1,1,2,2
3,25,25,1,3,3
3,7,7,1,3,0
4,1,4,1,4,4
8,9,8,1,8,8
2,3,3,1,2,0
4,1,1,1,4,0
8,9,9,1,8,8
4,1,1,1,4,1
4,1,1,1,4,4
4,1,4,1,4,0
4,1,4,1,4,4
2,1,2,1,2,2
2,1,1,1,2,2
2,4,2,1,2,4
2,4,2,1,2,4
2,4,4,1,2,0
6,7,6,1,6,0
6,7,7,1,6,6
5,4,4,1,5,5
2,1,1,1,2,2
7,6,7,1,7,0
2,1,2,1,2,1
2,1,2,1,2,0
7,6,7,1,7,0
7,6,7,1,7,0
7,6,7,1,7,0
4,2,2,1,4,2
2,5,2,1,2,5
5,1,1,1,5,1
2,1,2,1,2,0
8,6,8,1,8,0
8,6,8,1,8,6
5,8,5,1,5,5
5,8,8,1,5,5
6,4,4,1,6,0
4,2,2,1,4,4
1,4,4,1,1,1
1,4,4,1,1,0
1,4,1,1,1,4
5,3,5,1,5,3
25,6,25,1,25,6
25,6,25,1,25,6
2,1,2,1,2,0
2,1,1,1,2,2
7,4,4,1,7,0
5,8,8,1,5,0
3,2,3,1,3,2
3,2,3,1,3,2
3,2,3,1,3,0
3,2,2,1,3,2
1,3,1,1,1,0
3,2,3,1,3,2
1,3,1,1,1,0
1,3,1,1,1,0
1,6,1,1,1,1
1,6,6,1,1,0
3,1,1,1,3,0
3,1,3,1,3,0
3,1,3,1,3,0
3,1,3,1,3,0
5,7,5,1,5,7
2,8,8,1,2,2
2,8,8,1,2,2
5,9,9,1,5,0
2,8,2,1,2,2
1,5,5,1,1,1
1,5,1,1,1,1
7,6,6,1,7,6
7,6,6,1,7,6
4,7,4,1,4,4
3,2,2,1,3,2
4,7,4,1,4,7
1,5,5,1,1,1
2,5,2,1,2,2
2,5,2,1,2,0
2,5,2,1,2,2
6,2,6,1,6,6
7,2,7,1,7,0
